"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_get_users_with_wrong_url_suffix","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestUserAPI","test_for_users","",""
"","1","test_delete_non_exist_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","6","test_update_book_information","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_integration","",""
"","2","test_return_book_not_borrowed","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_integration","",""
"","1","test_get_books","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","0","test_add_and_delete_new_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","3","test_update_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_return_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","6","test_add_and_borrow_new_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_integration","",""
"","2","test_update_non_exist_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_get_users_list","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestUserAPI","test_for_users","",""
"","3","test_delete_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","4","test_sanity_check","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","3","test_delete_borrowed_book","tests","Fri Mar 28 10:46:55 GMT 2025","failed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_integration","",""
"","1","test_books_details","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_borrow_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","0","test_add_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_get_users_number","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestUserAPI","test_for_users","",""
"","5","test_borrow_already_borrowed_book","tests","Fri Mar 28 10:46:55 GMT 2025","passed","Fri Mar 28 10:46:55 GMT 2025","TestsBookAPI","test_for_integration","",""
